blockID,defID,FturkScore0,FturkScore1,FturkScore2,MturkScore0,MturkScore1,MturkScore2,turkGender,groundTruth,compasScore,defAge,defGender,defRace,defJuvFelCount,defJuvMisdCount,defPriorsCount,defChargeDegree
1,1024,5,5,3,1,1,2,1,0,2,27,0,2,0,0,0,0
1,1024,5,5,3,1,1,2,0,0,2,27,0,2,0,0,0,0
1,10307,9,10,9,8,8,10,1,0,6,31,0,2,2,0,6,1
1,10307,9,10,9,8,8,10,0,0,6,31,0,2,2,0,6,1
1,10406,7,7,8,5,5,8,1,0,7,43,0,2,0,0,2,1
1,10406,7,7,8,5,5,8,0,0,7,43,0,2,0,0,2,1
1,10452,0,1,2,2,1,1,1,0,1,44,1,2,0,0,0,1
1,10452,0,1,2,2,1,1,0,0,1,44,1,2,0,0,0,1
1,1443,5,4,2,1,3,0,0,1,5,45,0,2,0,0,0,1
1,1443,5,4,2,1,3,0,1,1,5,45,0,2,0,0,0,1
1,1733,8,9,10,9,8,10,0,0,7,52,1,1,0,0,6,0
1,1733,8,9,10,9,8,10,1,0,7,52,1,1,0,0,6,0
1,2719,6,4,7,3,5,5,0,1,4,23,0,2,0,0,1,1
1,2719,6,4,7,3,5,5,1,1,4,23,0,2,0,0,1,1
1,3398,10,10,9,9,9,10,0,1,10,21,0,2,1,2,3,1
1,3398,10,10,9,9,9,10,1,1,10,21,0,2,1,2,3,1
1,3732,3,2,4,3,3,1,1,0,1,26,0,2,0,0,1,0
1,3732,3,2,4,3,3,1,0,0,1,26,0,2,0,0,1,0
1,4766,9,9,9,6,9,7,1,1,9,26,0,1,0,0,2,1
1,4766,9,9,9,6,9,7,0,1,9,26,0,1,0,0,2,1
1,4767,8,8,9,8,7,9,1,0,2,39,0,1,0,0,3,1
1,4767,8,8,9,8,7,9,0,0,2,39,0,1,0,0,3,1
1,5438,7,6,7,5,4,5,0,1,10,20,0,2,0,0,1,1
1,5438,7,6,7,5,4,5,1,1,10,20,0,2,0,0,1,1
1,5557,1,4,4,2,2,2,0,1,4,51,0,2,0,0,0,0
1,5557,1,4,4,2,2,2,1,1,4,51,0,2,0,0,0,0
1,5593,7,9,10,8,7,8,0,1,4,37,0,1,0,0,4,0
1,5593,7,9,10,8,7,8,1,1,4,37,0,1,0,0,4,0
1,5647,1,1,0,1,1,1,1,1,1,42,1,2,0,0,0,0
1,5647,1,1,0,1,1,1,0,1,1,42,1,2,0,0,0,0
1,6064,0,1,1,2,1,0,1,0,2,31,1,1,0,0,0,0
1,6064,0,1,1,2,1,0,0,0,2,31,1,1,0,0,0,0
1,61,8,10,10,7,8,10,1,0,2,51,1,2,0,0,7,1
1,61,8,10,10,7,8,10,0,0,2,51,1,2,0,0,7,1
1,7652,10,10,9,10,9,9,1,1,8,25,0,2,0,0,8,1
1,7652,10,10,9,10,9,9,0,1,8,25,0,2,0,0,8,1
1,8104,9,9,10,10,10,9,1,0,6,42,1,2,0,0,16,1
1,8104,9,9,10,10,10,9,0,0,6,42,1,2,0,0,16,1
1,8141,0,0,0,0,1,0,0,0,4,21,0,1,0,0,0,1
1,8141,0,0,0,0,1,0,1,0,4,21,0,1,0,0,0,1
1,8267,8,9,8,3,4,7,0,1,3,46,0,2,0,0,3,1
1,8267,8,9,8,3,4,7,1,1,3,46,0,2,0,0,3,1
1,8307,8,7,9,8,6,9,0,0,6,53,1,2,0,0,5,1
1,8307,8,7,9,8,6,9,1,0,6,53,1,2,0,0,5,1
1,8613,6,8,8,4,4,6,0,0,2,33,0,1,0,0,2,0
1,8613,6,8,8,4,4,6,1,0,2,33,0,1,0,0,2,0
1,8827,8,9,10,9,9,9,1,0,3,26,0,3,0,0,5,1
1,8827,8,9,10,9,9,9,0,0,3,26,0,3,0,0,5,1
1,9924,3,4,6,2,2,4,1,1,3,29,0,1,0,0,0,1
1,9924,3,4,6,2,2,4,0,1,3,29,0,1,0,0,0,1
10,10807,7,9,7,7,7,6,0,1,9,25,0,1,0,0,3,0
10,10807,7,9,7,7,7,6,1,1,9,25,0,1,0,0,3,0
10,1522,6,9,7,7,8,6,1,0,7,23,0,2,0,0,2,0
10,1522,6,9,7,7,8,6,0,0,7,23,0,2,0,0,2,0
10,1841,3,7,2,3,3,2,0,0,3,37,1,1,0,0,1,0
10,1841,3,7,2,3,3,2,1,0,3,37,1,1,0,0,1,0
10,2165,1,1,2,1,1,2,1,1,1,53,0,2,0,0,0,0
