blockID,defID,condition,groundTruth,compasScore,turkScore,imageID,defAge,defGender,defRace,defJuvFelCount,defJuvMisdCount,defPriorsCount,defChargeDegree
1,61,0,0,2,15, BF-211,51,1,2,0,0,7,1
1,61,1,0,2,18, WF-237,51,1,2,0,0,7,1
1,61,2,0,2,20, BF-211,51,1,2,0,0,7,1
1,1024,0,0,2,8, BM-013,27,0,2,0,0,0,0
1,1024,1,0,2,6, WM-015,27,0,2,0,0,0,0
1,1024,2,0,2,5, BM-005,27,0,2,0,0,0,0
1,1443,0,1,5,6, BM-033,45,0,2,0,0,0,1
1,1443,1,1,5,9, WM-220,45,0,2,0,0,0,1
1,1443,2,1,5,3, BM-021,45,0,2,0,0,0,1
1,1733,0,0,7,17, BF-224,52,1,1,0,0,6,0
1,1733,1,0,7,17, WF-240,52,1,1,0,0,6,0
1,1733,2,0,7,20, WF-221,52,1,1,0,0,6,0
1,2719,0,1,4,8, BM-003,23,0,2,0,0,1,1
1,2719,1,1,4,9, WM-006,23,0,2,0,0,1,1
1,2719,2,1,4,11, BM-001,23,0,2,0,0,1,1
1,3398,0,1,10,18, BM-037,21,0,2,1,2,3,1
1,3398,1,1,10,19, WM-025,21,0,2,1,2,3,1
1,3398,2,1,10,19, BM-036,21,0,2,1,2,3,1
1,3732,0,0,1,5, BM-010,26,0,2,0,0,1,0
1,3732,1,0,1,5, WM-010,26,0,2,0,0,1,0
1,3732,2,0,1,6, BM-003,26,0,2,0,0,1,0
1,4766,0,1,9,16, BM-001,26,0,1,0,0,2,1
1,4766,1,1,9,19, WM-003,26,0,1,0,0,2,1
1,4766,2,1,9,16, WM-003,26,0,1,0,0,2,1
1,4767,0,0,2,16, BM-025,39,0,1,0,0,3,1
1,4767,1,0,2,15, WM-201,39,0,1,0,0,3,1
1,4767,2,0,2,18, WM-023,39,0,1,0,0,3,1
1,5438,0,1,10,12, BM-009,20,0,2,0,0,1,1
1,5438,1,1,10,11, WM-001,20,0,2,0,0,1,1
1,5438,2,1,10,12, BM-009,20,0,2,0,0,1,1
1,5557,0,1,4,4, BM-212,51,0,2,0,0,0,0
1,5557,1,1,4,7, WM-223,51,0,2,0,0,0,0
1,5557,2,1,4,7, BM-212,51,0,2,0,0,0,0
1,5593,0,1,4,14, BM-021,37,0,1,0,0,4,0
1,5593,1,1,4,15, WM-023,37,0,1,0,0,4,0
1,5593,2,1,4,18, WM-018,37,0,1,0,0,4,0
1,5647,0,1,1,2, BF-024,42,1,2,0,0,0,0
1,5647,1,1,1,2, WF-014,42,1,2,0,0,0,0
1,5647,2,1,1,1, BF-024,42,1,2,0,0,0,0
1,6064,0,0,2,2, BF-007,31,1,1,0,0,0,0
1,6064,1,0,2,2, WF-002,31,1,1,0,0,0,0
